Active Candidates without Avatars

Site, WP Page, WP Line, Username
Journey,1,173,atlawton
Journey,1,596,dlmatthewsmd
Journey,1,842,gobindemans
Journey,1,906,hisflower98
Journey,1,910,hmann
Journey,1,996,jarrodf
Journey,2,157,jpuckett
Journey,2,174,juanestrada
Journey,2,426,marktcor
Journey,2,432,martapayne
Journey,2,461,mcsander
Journey,2,561,moorecr8tv
Journey,2,562,mooreshannon
Journey,2,591,mstjohn21
Journey,2,765,psalms101man
Journey,2,790,ranoble
Journey,2,819,reugene7
Journey,2,890,ruthgina
Journey,2,913,sarahelizabeth
Journey,2,919,sbettes
Journey,2,946,selectn
Journey,2,965,sheila1mom
Journey,2,966,shelaheramis
Journey,2,998,smduck
Journey,3,131,timothymonsen

Education,1,62,alexcruz2013
Education,1,79,amurphy
Education,1,142,barrettmichele
Education,1,209,brothermichael
Education,1,273,choybanacia
Education,1,321,constanza
Education,1,342,danielle chua
Education,1,356,david nallapu
Education,1,385,divine23
Education,1,394,donnamaria
Education,1,444,elmoinaction
Education,1,445,ememkiloy@gmail.com
Education,1,462,esimons
Education,1,479,fabnash2001
Education,1,497,gabriel1091
Education,1,504,garryshultz
Education,1,551,hannahsimpson
Education,1,570,hgraft
Education,1,621,james2ryme
Education,1,625,jar1959
Education,1,669,jhfiv
Education,1,677,jkan
Education,1,779,kelseyaylard
Education,1,850,lauren.fajobi
Education,1,968,mattzimms
Education,1,980,mcsnelles
Education,1,990,merbear44
Education,2,7,miriam
Education,2,74,mvallar
Education,2,115,nik1969
Education,2,150,oumar
Education,2,180,pldavis
Education,2,182,poconos3
Education,2,221,rappingchad
Education,2,268,romandito
Education,2,277,rprislovsky
Education,2,280,rufudzaj
Education,2,293,sacha garcia-mailloux
Education,2,331,sdiaz1086
Education,2,375,sirmends@yahoo.com
Education,2,426,sweetsong32
Education,2,488,trusthim2day4ever@yahoo.com
Education,2,516,vivians
Education,2,546,yerang0927
Education,2,556,yvonne.kordus@gmail.com

QuickStart : NONE FOUND
